French,Portuguese
partie,papel
histoire,história
chercher,procurar
seulement,apenas
police,polícia
pensais,Eu pensei
aide,ajuda
demande,solicitar
genre,gênero
"mois,month",mês
frère,irmão
laisser,ir embora
car,porque
mettre,colocar
aucun,nenhum
laisse,deixe em paz
eux,eles
ville,cidade
chaque,cada
parlé,falar
arrivé,chegado
devrait,deve
bébé,bebê
longtemps,muito tempo
heures,horas
vont,estão indo
pendant,durante
revoir,adeus
aucune,nenhum
place,lugar
parle,falar
compris,Entendido
savais,sabia
étaient,eram
attention,atenção
voici,aqui está
pourrais,poderia
affaire,assunto
donner,dar
type,tipo
leurs,deles
donné,dado
train,trem
corps,corpo
endroit,lugar
yeux,olhos
façon,caminho
écoute,ouvir
dont,dos quais
trouve,encontrar
premier,primeiro
perdu,perdido
main,mão
première,primeiro
côté,lado
pouvoir,poder
vieux,velho
sois,ser
tiens,segurar
matin,Manhã
tellement,tal
enfant,criança
point,apontar
venu,veio
suite,seguindo
pardon,perdão
venez,vir
devant,na frente
vers,em direção a
minutes,minutos
demandé,solicitar
chambre,quarto
mis,colocar
belle,lindo
droit,certo
aimerais,gostaria
aujourd'hui,Hoje
mari,marido
cause,causa
enfin,Finalmente
espère,esperanças
eau,água
attendez,espere
parti,festa
nouvelle,novo
boulot,trabalho
arrêter,Parar
dirait,seria
terre,terra
compte,conta
donne,dado
loin,distante
fin,FIM
croire,acreditar
chérie,Querido
gros,gordo
plutôt,em vez de
aura,terá
filles,garotas
jouer,jogar
bureau,mesa